taxa,Tissue_type,Comment,FA_ID,Site,Site_Abbrev,Box,Chick,Collection_date,size_g_or_mm,Scientific_name,CryoBox,taxa2,matrix_id,PtLipids
Tree_Swallow,portion,.,5,Big Lake North,BN,962,a,6/25/10,18.6,Tachycineta bicolor,2,Tree_,Tree_,16.09101158
Tree_Swallow,portion,.,6,Big Lake North,BN,962,b,6/25/10,19.2,Tachycineta bicolor,2,Tree_,Tree_,15.88244026
Tree_Swallow,portion,.,7,Big Lake South,BS,977,.,6/9/10,21.8,Tachycineta bicolor,2,Tree_,Tree_,14.44295035
Tree_Swallow,portion,.,8,Big Lake South,BS,984,.,6/9/10,16.2,Tachycineta bicolor,2,Tree_,Tree_,13.64670205
Tree_Swallow,portion,.,9,Big Lake South,BS,986,.,6/12/10,20,Tachycineta bicolor,2,Tree_,Tree_,17.67260746
Tree_Swallow,portion,Changed from 903 to 803 see field data sheet,10,Big Lake East,BS,803,.,6/13/10,25.2,Tachycineta bicolor,2,Tree_,Tree_,16.93484569
Tree_Swallow,portion,.,11,Big Lake South,BS,983,.,6/13/10,21.8,Tachycineta bicolor,2,Tree_,Tree_,22.85685453
Tree_Swallow,portion,.,12,Big Lake East,BS,810,.,6/17/10,23.7,Tachycineta bicolor,2,Tree_,Tree_,17.99894124
Tree_Swallow,portion,.,13,Big Lake East,BS,802,c,6/22/10,19.1,Tachycineta bicolor,2,Tree_,Tree_,19.47662805
Tree_Swallow,portion,.,14,Big Lake East,BS,802,b,6/22/10,21.8,Tachycineta bicolor,2,Tree_,Tree_,17.65327164
Tree_Swallow,portion,.,15,Big Lake East,BS,802,a,6/22/10,18.2,Tachycineta bicolor,2,Tree_,Tree_,16.97912982
Tree_Swallow,portion,.,16,Big Lake East,BS,806,a,6/22/10,18.7,Tachycineta bicolor,2,Tree_,Tree_,16.4499606
Tree_Swallow,portion,.,17,Big Lake South,BS,982,.,6/23/10,22.9,Tachycineta bicolor,2,Tree_,Tree_,14.80478011
Tree_Swallow,portion,.,18,Big Lake East,BS,806,b,6/24/10,19.7,Tachycineta bicolor,2,Tree_,Tree_,18.90328799
Tree_Swallow,portion,.,19,Big Lake East,BS,806,c,6/24/10,18,Tachycineta bicolor,2,Tree_,Tree_,17.44876362
Tree_Swallow,portion,.,20,Big Lake East,BS,806,d,6/24/10,17,Tachycineta bicolor,2,Tree_,Tree_,17.06204847
Tree_Swallow,portion,.,21,Big Lake East,BS,806,e,6/24/10,16.9,Tachycineta bicolor,2,Tree_,Tree_,18.40490798
Tree_Swallow,portion,.,3,Emiquon North,EN,922,.,6/10/10,22.8,Tachycineta bicolor,2,Tree_,Tree_,15.60758082
Tree_Swallow,portion,.,22,Emiquon North,EN,935,.,6/6/10,22.6,Tachycineta bicolor,2,Tree_,Tree_,18.21633826
Tree_Swallow,portion,.,23,Emiquon North,EN,937,.,6/6/10,23.3,Tachycineta bicolor,2,Tree_,Tree_,20.16903573
Tree_Swallow,portion,.,24,Emiquon North,EN,933,.,6/8/10,21.4,Tachycineta bicolor,2,Tree_,Tree_,18.03021279
Tree_Swallow,portion,.,25,Emiquon North,EN,928,a,6/23/10,20.2,Tachycineta bicolor,2,Tree_,Tree_,15.57093426
Tree_Swallow,portion,.,26,Emiquon North,EN,928,b,6/24/10,18.4,Tachycineta bicolor,2,Tree_,Tree_,16.54517552
Tree_Swallow,portion,.,27,Emiquon North,EN,931,a,6/26/10,20.2,Tachycineta bicolor,2,Tree_,Tree_,15.84371635
Tree_Swallow,portion,.,28,Emiquon North,EN,931,b,6/26/10,21.8,Tachycineta bicolor,2,Tree_,Tree_,15.35609014
Tree_Swallow,portion,.,29,Emiquon North,EN,923,.,7/6/10,23.3,Tachycineta bicolor,2,Tree_,Tree_,14.65838509
Tree_Swallow,portion,.,30,Emiquon North,EN,924,.,7/10/10,20.8,Tachycineta bicolor,2,Tree_,Tree_,17.11875215
Tree_Swallow,portion,.,31,Emiquon North,EN,927,.,7/11/10,20.1,Tachycineta bicolor,2,Tree_,Tree_,15.37794061
Tree_Swallow,portion,.,32,Emiquon North,EN,929,.,7/11/10,19.3,Tachycineta bicolor,2,Tree_,Tree_,18.23649239
Tree_Swallow,portion,.,33,Emiquon South,ES,910,.,5/30/10,20.3,Tachycineta bicolor,2,Tree_,Tree_,18.49745289
Tree_Swallow,portion,.,34,Emiquon South,ES,912,.,6/1/10,21.2,Tachycineta bicolor,2,Tree_,Tree_,14.94605563
