SPEC_ID,BS_ID,TC_ID,TC_ID2,SEX,WELL_NO,FOIL_TEAR DRY WT,SAMPLE DRY WT
496,23,80,,,PP-3,0.0298,0.0303
497,23,80,,,PP-4,0.0325,0.0329
498,23,80,,,PP-5,0.0344,0.0351
499,23,80,,,PP-6,0.0224,0.0227
500,23,80,,,PP-7,0.0339,0.0349
501,23,80,,,PP-8,0.0247,0.0252
502,23,80,,,PP-9,0.025,0.0253
503,23,80,,,PP-10,0.0328,0.0337
504,23,80,,,PP-11,0.0321,0.0328
505,23,80,,,PP-12,0.034,0.0343
506,23,80,,,QQ-1,0.03,0.0303
507,23,80,,,QQ-2,0.029,0.029
508,23,80,,,QQ-3,0.0274,0.028
509,23,80,,,QQ-4,0.0276,0.0277
510,23,80,,,QQ-5,0.0237,0.0244
511,23,80,,,QQ-6,0.0248,0.0257
512,23,80,,,QQ-7,0.0242,0.0249
513,23,80,,,QQ-8,0.0248,0.0252
514,23,80,,,QQ-9,0.0253,0.0262
515,23,80,,,QQ-10,0.028,0.0286
516,23,80,,,QQ-11,0.0316,0.0325
517,23,80,,,QQ-12,0.0272,0.0279
518,23,80,,,RR-1,0.0292,0.0304
519,23,80,,,RR-2,0.0306,0.031
520,23,80,,,RR-3,0.0191,0.0204
521,23,80,,,RR-4,0.0275,0.0279
522,23,80,,,RR-5,0.028,0.0284
523,23,80,,,RR-6,0.0314,0.0319
524,23,80,,,RR-7,0.0301,0.0305
525,23,80,,,RR-8,0.0325,0.0334
526,23,80,,,RR-9,0.0286,0.029
527,23,81,,,RR-10,0.0267,0.027
528,23,82,,,RR-11,0.0252,0.0254
529,23,82,,,RR-12,0.034,0.0355
530,23,83,,,O-1,0.0361,0.0365
531,23,84,,,O-2,0.0288,0.0303
532,25,86,,,O-3,0.0277,0.0288
533,25,86,,,O-4,0.0303,0.0314
534,25,87,,,O-5,0.034,0.0362
535,25,88,,,O-6,0.0306,0.0318
536,25,90,,,O-7,0.0312,0.0331
537,25,90,,,O-8,0.0349,0.0369
538,25,90,,,O-9,0.0354,0.0379
539,26,92,,,O-10,0.0254,0.0265
540,26,92,,,O-11,0.0323,0.0338
541,26,92,,,O-12,0.0312,0.0321
542,27,93,A,,C-1,0.0223,0.0225
543,27,93,A,,C-2,0.0208,0.0209
544,27,93,A,,C-3,0.0215,0.0221
545,27,93,A,,C-4,0.0226,0.023
546,27,93,A,,C-5,0.0224,0.0227
547,27,93,A,,C-6,0.0204,0.0207
548,27,93,C,,C-7,0.0243,0.0246
549,27,93,C,,C-8,0.0222,0.0225
550,27,93,C,,C-9,0.0229,0.0232
551,27,93,C,,C-10,0.0276,0.0279
552,27,93,C,,C-11,0.0195,0.0198
553,27,93,C,,C-12,0.0197,0.0199
554,27,93,C,,I-1,0.0307,0.0314
555,27,93,C,,I-2,0.0331,0.0337
556,27,93,C,,I-3,0.0291,0.0297
557,27,93,C,,I-4,0.0542,0.055
558,27,93,C,,I-5,0.0338,0.0344
559,27,93,C,,I-6,0.0296,0.0305
560,27,93,C,,I-7,0.0318,0.0324
561,27,93,C,,I-8,0.0443,0.045
562,27,93,C,,I-9,0.0331,0.0339
563,27,93,C,,I-10,0.031,0.0319
564,27,93,C,,I-11,0.0324,0.0329
565,27,93,C,,I-12,0.036,0.0367
566,27,93,C,,D-1,0.0264,0.0279
567,27,93,C,,D-2,0.0253,0.0262
568,27,93,C,,D-3,0.0253,0.0264
569,27,93,C,,D-4,0.0231,0.0241
570,27,93,C,,D-5,0.0231,0.0235
571,27,93,C,,D-6,0.0251,0.0258
572,27,93,C,,D-7,0.0228,0.0235
573,27,93,C,,D-8,0.0242,0.0248
574,27,93,C,,D-9,0.0211,0.0221
575,27,93,C,,D-10,0.0181,0.0186
576,27,93,C,,D-11,0.0198,0.0206
577,27,93,C,,D-12,0.0226,0.0236
578,27,94,,,J-1,0.0273,0.0276
579,27,94,,,J-2,0.03,0.0307
580,27,95,,,J-3,0.0296,0.0301
581,27,95,,,J-4,0.043,0.0434
582,27,95,,,J-5,0.0292,0.0294
583,27,96,,,J-6,0.0314,0.0327
584,27,97,,,J-7,0.0323,0.0349
585,27,97,,,J-8,0.0303,0.032
586,27,97,,,J-9,0.0291,0.0313
587,27,97,,,J-10,0.032,0.034
588,27,97,,,J-11,0.0394,0.0414
589,29,99,,,J-12,0.0307,0.0315
590,29,99,,,F-1,0.023,0.0233
591,29,99,,,F-2,0.0212,0.0217
